seed,task,condition,accuracy,correct_count,sample_size,file
41,gsm8k,learned_softcot,0.835,167,200,results/raw/seed_41/gsm8k_learned.json
41,gsm8k,zero_control,0.805,161,200,results/raw/seed_41/gsm8k_zero.json
41,gsm8k,no_softcot_baseline,0.855,171,200,results/raw/seed_41/gsm8k_baseline.json
41,asdiv-aug,learned_softcot,0.85,170,200,results/raw/seed_41/asdiv-aug_learned.json
41,asdiv-aug,zero_control,0.77,154,200,results/raw/seed_41/asdiv-aug_zero.json
41,asdiv-aug,no_softcot_baseline,0.88,176,200,results/raw/seed_41/asdiv-aug_baseline.json
41,strategyqa,learned_softcot,0.635,127,200,results/raw/seed_41/strategyqa_learned.json
41,strategyqa,zero_control,0.59,118,200,results/raw/seed_41/strategyqa_zero.json
41,strategyqa,no_softcot_baseline,0.53,106,200,results/raw/seed_41/strategyqa_baseline.json
42,gsm8k,learned_softcot,0.76,152,200,results/raw/seed_42/gsm8k_learned.json
42,gsm8k,zero_control,0.775,155,200,results/raw/seed_42/gsm8k_zero.json
42,gsm8k,no_softcot_baseline,0.87,174,200,results/raw/seed_42/gsm8k_baseline.json
42,asdiv-aug,learned_softcot,0.835,167,200,results/raw/seed_42/asdiv-aug_learned.json
42,asdiv-aug,zero_control,0.815,163,200,results/raw/seed_42/asdiv-aug_zero.json
42,asdiv-aug,no_softcot_baseline,0.885,177,200,results/raw/seed_42/asdiv-aug_baseline.json
42,strategyqa,learned_softcot,0.655,131,200,results/raw/seed_42/strategyqa_learned.json
42,strategyqa,zero_control,0.605,121,200,results/raw/seed_42/strategyqa_zero.json
42,strategyqa,no_softcot_baseline,0.565,113,200,results/raw/seed_42/strategyqa_baseline.json
43,gsm8k,learned_softcot,0.88,176,200,results/raw/seed_43/gsm8k_learned.json
43,gsm8k,zero_control,0.805,161,200,results/raw/seed_43/gsm8k_zero.json
43,gsm8k,no_softcot_baseline,0.88,176,200,results/raw/seed_43/gsm8k_baseline.json
43,asdiv-aug,learned_softcot,0.885,177,200,results/raw/seed_43/asdiv-aug_learned.json
43,asdiv-aug,zero_control,0.8,160,200,results/raw/seed_43/asdiv-aug_zero.json
43,asdiv-aug,no_softcot_baseline,0.84,168,200,results/raw/seed_43/asdiv-aug_baseline.json
43,strategyqa,learned_softcot,0.665,133,200,results/raw/seed_43/strategyqa_learned.json
43,strategyqa,zero_control,0.565,113,200,results/raw/seed_43/strategyqa_zero.json
43,strategyqa,no_softcot_baseline,0.515,103,200,results/raw/seed_43/strategyqa_baseline.json
