seed,task,comparison,paired_n,both_correct,both_wrong,first_only_correct,second_only_correct,first_accuracy_on_common,second_accuracy_on_common,first_minus_second_accuracy
41,gsm8k,learned_softcot_vs_no_softcot_baseline,200,155,17,12,16,0.835,0.855,-0.02
41,gsm8k,learned_softcot_vs_zero_control,200,141,13,26,20,0.835,0.805,0.03
41,gsm8k,zero_control_vs_no_softcot_baseline,200,145,13,16,26,0.805,0.855,-0.05
41,asdiv-aug,learned_softcot_vs_no_softcot_baseline,200,165,19,5,11,0.85,0.88,-0.03
41,asdiv-aug,learned_softcot_vs_zero_control,200,145,21,25,9,0.85,0.77,0.08
41,asdiv-aug,zero_control_vs_no_softcot_baseline,200,148,18,6,28,0.77,0.88,-0.11
41,strategyqa,learned_softcot_vs_no_softcot_baseline,200,89,56,38,17,0.635,0.53,0.105
41,strategyqa,learned_softcot_vs_zero_control,200,97,52,30,21,0.635,0.59,0.045
41,strategyqa,zero_control_vs_no_softcot_baseline,200,90,66,28,16,0.59,0.53,0.06
42,gsm8k,learned_softcot_vs_no_softcot_baseline,200,141,15,11,33,0.76,0.87,-0.11
42,gsm8k,learned_softcot_vs_zero_control,200,124,17,28,31,0.76,0.775,-0.015
42,gsm8k,zero_control_vs_no_softcot_baseline,200,147,18,8,27,0.775,0.87,-0.095
42,asdiv-aug,learned_softcot_vs_no_softcot_baseline,200,161,17,6,16,0.835,0.885,-0.05
42,asdiv-aug,learned_softcot_vs_zero_control,200,151,21,16,12,0.835,0.815,0.02
42,asdiv-aug,zero_control_vs_no_softcot_baseline,200,158,18,5,19,0.815,0.885,-0.07
42,strategyqa,learned_softcot_vs_no_softcot_baseline,200,97,53,34,16,0.655,0.565,0.09
42,strategyqa,learned_softcot_vs_zero_control,200,95,43,36,26,0.655,0.605,0.05
42,strategyqa,zero_control_vs_no_softcot_baseline,200,91,57,30,22,0.605,0.565,0.04
43,gsm8k,learned_softcot_vs_no_softcot_baseline,200,163,11,13,13,0.88,0.88,0.0
43,gsm8k,learned_softcot_vs_zero_control,200,148,11,28,13,0.88,0.805,0.075
43,gsm8k,zero_control_vs_no_softcot_baseline,200,149,12,12,27,0.805,0.88,-0.075
43,asdiv-aug,learned_softcot_vs_no_softcot_baseline,200,165,20,12,3,0.885,0.84,0.045
43,asdiv-aug,learned_softcot_vs_zero_control,200,157,20,20,3,0.885,0.8,0.085
43,asdiv-aug,zero_control_vs_no_softcot_baseline,200,150,22,10,18,0.8,0.84,-0.04
43,strategyqa,learned_softcot_vs_no_softcot_baseline,200,88,52,45,15,0.665,0.515,0.15
43,strategyqa,learned_softcot_vs_zero_control,200,93,47,40,20,0.665,0.565,0.1
43,strategyqa,zero_control_vs_no_softcot_baseline,200,74,58,39,29,0.565,0.515,0.05
